ilhousedist,houserep,party, eitc ,kideitc,kidavgeitc10,kidavgeitc20,multeffect10,multeffect20
98,Natalie A. Manley,D,6330,8292,293,586,2.2,4.4
99,Raymond Poe,R,6991,9158,283,566,2.4,4.7
100,C.D. Davidsmeyer,R,7512,9841,280,560,2.5,5
101,Bill Mitchell,R,6646,8706,286,572,2.3,4.5
102,Adam Brown,R,6510,8528,263,526,2,4.1
103,Carol Ammons,D,6526,8549,286,572,2.2,4.4
104,Chad Hays,R,9486,12427,318,636,3.6,7.2
105,Dan Brady,R,4863,6371,270,540,1.6,3.1
106,Thomas Bennett,R,7086,9283,277,554,2.3,4.7
107,John D. Cavaletto,R,8178,10713,280,560,2.7,5.4
108,Charles E. Meier,R,5341,6997,259,518,1.7,3.3
109,David Reis,R,7634,10001,265,530,2.4,4.8
110,Reginald Phillips,R,7396,9689,265,530,2.3,4.7
111,Daniel V. Beiser,D,8907,11668,286,572,3,6.1
112,Dwight Kay,R,6372,8347,269,538,2,4.1
113,Jay Hoffman,D,9164,12005,303,606,3.3,6.6
114,"Eddie Lee Jackson, Sr.",D,10661,13966,340,680,4.3,8.6
115,Terri Bryant,R,8501,11136,281,562,2.8,5.7
116,"Jerry F. Costello, II",D,6872,9002,295,590,2.4,4.8
117,John E. Bradley,D,9114,11939,289,578,3.1,6.3
118,Brandon W. Phelps,D,8501,11136,292,584,3,5.9
